NAME                                                     VERSION               RELEASE               ARCH        VENDOR                          GROUP
DFRHUD                                                   1.0                   ?                     Intel       ?                               ?                   
syncuid                                                  8.1                   ?                     Intel       ?                               ?                   
Conflict Resolver                                        8.1                   ?                     Intel       ?                               ?                   
STMUIHelper                                              1.0                   ?                     Intel       ?                               ?                   
SpeechRecognitionServer                                  6.6.1                 ?                     Intel       ?                               ?                   
Speech Downloader                                        6.6.1                 ?                     Intel       ?                               ?                   
ScreenReaderUIServer                                     7.0                   ?                     Intel       ?                               ?                   
nbagent                                                  1.0                   ?                     Intel       ?                               ?                   
soagent                                                  7.0                   ?                     Intel       ?                               ?                   
IMTransferAgent                                          10.0                  ?                     Intel       ?                               ?                   
IMAutomaticHistoryDeletionAgent                          10.0                  ?                     Intel       ?                               ?                   
imagent                                                  10.0                  ?                     Intel       ?                               ?                   
IDSRemoteURLConnectionAgent                              10.0                  ?                     Intel       ?                               ?                   
identityservicesd                                        10.0                  ?                     Intel       ?                               ?                   
FindMyMacMessenger                                       4.1                   ?                     Intel       ?                               ?                   
Family                                                   1.0                   ?                     Intel       ?                               ?                   
ParentalControls                                         4.1                   ?                     Intel       ?                               ?                   
eaptlstrust                                              13.0                  ?                     Intel       ?                               ?                   
DiskImages UI Agent                                      444.50.16             ?                     Intel       ?                               ?                   
FollowUpUI                                               1.0                   ?                     Intel       ?                               ?                   
CIMFindInputCodeTool                                     102                   ?                     Intel       ?                               ?                   
storeuid                                                 1.0                   ?                     Intel       ?                               ?                   
LaterAgent                                               1.0                   ?                     Intel       ?                               ?                   
iCloud Drive                                             1.0                   ?                     Intel       ?                               ?                   
AskPermissionUI                                          1.0                   ?                     Intel       ?                               ?                   
Calibration Assistant                                    1.0                   ?                     Intel       ?                               ?                   
AOSPushRelay                                             1.07                  ?                     Intel       ?                               ?                   
AOSHeartbeat                                             1.07                  ?                     Intel       ?                               ?                   
AOSAlertManager                                          1.07                  ?                     Intel       ?                               ?                   
iCloudUserNotificationsd                                 1.0                   ?                     Intel       ?                               ?                   
TrackpadIM                                               1.0                   ?                     Intel       ?                               ?                   
TCIM                                                     1.0                   ?                     Intel       ?                               ?                   
SCIM                                                     1.0                   ?                     Intel       ?                               ?                   
KeyboardViewer                                           3.2                   ?                     Intel       ?                               ?                   
